"Welche Hauptkomponenten umfasst eine typische Data-Warehouse-Referenzarchitektur?","<ul><li>Datenquellen intern und extern</li><li>Monitoring und Ablaufsteuerung</li><li>Extraktion, Transformation und Laden über einen Arbeitsbereich</li><li>Zentrales Data Warehouse</li><li>Abgeleitete Data Marts oder Cubes für Analysen</li><li>Metadaten-Repository</li></ul>","week-2 ws25-26 data-warehousing referenzarchitektur source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche Aufgaben hat der Scheduler in einer Data-Warehouse-Architektur?","<ul><li>Initiiert, steuert und überwacht Prozesse der Datenversorgung</li><li>Startet Extraktion zeitgesteuert, ereignisgesteuert oder manuell</li><li>Dokumentiert Fehler und unterstützt Wiederanlaufmechanismen</li><li>Nutzt Metadaten zur Parametrisierung der Abläufe</li></ul>","week-2 ws25-26 data-warehousing scheduler source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche Qualitätsanforderungen sind an Datenquellen für ein Data Warehouse zentral?","<ul><li>Konsistenz und Korrektheit</li><li>Vollständigkeit</li><li>Aktualität und Verständlichkeit</li><li>Verfügbarkeit relevanter Metadaten</li><li>Praktische Zugriffsmöglichkeiten auf Daten und Änderungen</li></ul>","week-2 ws25-26 data-warehousing datenquellen source::kapitel-2-architektur-von-data-warehouse-systemen"
"Wie unterscheiden sich Monitoring-Ansätze für interne und externe Datenquellen?","<ul><li>Interne Quellen nutzen häufig aktive Mechanismen zur Änderungserkennung</li><li>Externe Quellen werden oft per Polling in Intervallen geprüft</li></ul>","week-2 ws25-26 data-warehousing datenextraktion source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche drei grundlegenden Strategien zur Datenextraktion werden in Kapitel 2 gegenübergestellt?","<ul><li>Periodische Snapshots</li><li>Change Data Capture über Zeitstempel</li><li>Change Data Capture über Trigger oder Log-Dateien</li></ul><br><br><div class=""legend"">CDC: Change Data Capture</div>","week-2 ws25-26 data-warehousing extraktionsstrategien source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was ist der Hauptnachteil von trigger-basiertem Change Data Capture?","<ul><li>Zusätzliche Schreiboperationen belasten die Quell-Datenbank</li><li>Schema-Anpassungen in der Quelle sind erforderlich</li></ul><br><br><div class=""legend"">CDC: Change Data Capture</div>","week-2 ws25-26 data-warehousing cdc-trigger source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche Rolle spielt die Staging Area im ETL-Prozess?","Ein temporärer Arbeitsbereich, in dem Daten integriert und bereinigt werden, bevor nur erfolgreich transformierte Daten in das Data Warehouse geladen werden<br><br><div class=""legend"">ETL: Extract, Transform, Load</div>","week-2 ws25-26 data-warehousing staging-area source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche typischen Aufgaben umfasst die Datentransformation vor dem Laden?","<ul><li>Data Auditing oder Profiling zur Qualitätsprüfung</li><li>Data Cleaning für fehlerhafte, fehlende oder redundante Werte</li><li>Konsolidierung von Datentypen, Einheiten und Kodierungen</li></ul>","week-2 ws25-26 data-warehousing transformation source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was ist ein Data Mart im Verhältnis zum Data Warehouse?","Ein Data Mart ist eine thematisch oder organisatorisch begrenzte Teilmenge des zentralen Data Warehouse für spezifische Analysebedarfe","week-2 ws25-26 data-warehousing data-mart source::kapitel-2-architektur-von-data-warehouse-systemen"
"Worin unterscheiden sich abhängige und unabhängige Data Marts?","<table><thead><tr><th>Abhängige Data Marts</th><th>Unabhängige Data Marts</th></tr></thead><tbody><tr><td>Werden aus dem zentralen Warehouse abgeleitet</td><td>Werden direkt aus Quellen aufgebaut</td></tr><tr><td>Höhere Konsistenz mit zentralen Analysen</td><td>Höheres Risiko für Inkonsistenz und Duplikation</td></tr><tr><td>Längere Initialentwicklung wegen zentralem Warehouse</td><td>Schnellere lokale Umsetzung möglich</td></tr></tbody></table>","week-2 ws25-26 data-warehousing data-marts-varianten source::kapitel-2-architektur-von-data-warehouse-systemen"
"Warum gelten abhängige Data Marts als konsistenter für unternehmensweite Analysen?","Weil sie als kontrollierte Extrakte aus einem gemeinsamen zentralen Datenbestand erzeugt werden","week-2 ws25-26 data-warehousing abhaengige-data-marts source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche zentralen Risiken bringen unabhängige Data Marts mit sich?","<ul><li>Datenredundanz zwischen Data Marts</li><li>Erhöhte Konsistenzprobleme</li><li>Wachsender Integrationsaufwand mit steigender Anzahl von Data Marts</li><li>Erschwerte unternehmensweite Sicht</li></ul>","week-2 ws25-26 data-warehousing unabhaengige-data-marts source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche Funktion hat ein Operational Data Store in der Data-Warehouse-Architektur?","Eine optionale Komponente für operativere, aktuellere Anwendungen auf integrierten Daten mit direkter Änderbarkeit und geringerem Aggregationsgrad<br><br><div class=""legend"">ODS: Operational Data Store</div>","week-2 ws25-26 data-warehousing ods source::kapitel-2-architektur-von-data-warehouse-systemen"
"Wodurch unterscheiden sich Operational Data Store und Data Warehouse im Analysefokus?","<table><thead><tr><th>Operational Data Store</th><th>Data Warehouse</th></tr></thead><tbody><tr><td>Granulare, aktuelle Daten für operationale Berichte</td><td>Historische, aggregierte Daten für strategische Analysen</td></tr><tr><td>Kurzes Zeitfenster naher Vergangenheit</td><td>Lange Historie</td></tr><tr><td>Häufigeres Laden bis minütlich oder stündlich</td><td>Laden typischerweise täglich bis quartalsweise</td></tr></tbody></table><br><br><div class=""legend"">ODS: Operational Data Store</div>","week-2 ws25-26 data-warehousing ods-vs-dw source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche Anforderungen sollte ein Metadaten-Repository in Data-Warehouse-Systemen erfüllen?","<ul><li>Aktuelle Bereitstellung relevanter Metadaten</li><li>Flexible und leistungsfähige Zugriffsschnittstellen</li><li>Unterstützung von Versions- und Konfigurationsverwaltung</li><li>Nutzbarkeit für technische und fachliche Aufgaben</li></ul>","week-2 ws25-26 data-warehousing metadatenverwaltung source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was sind technische Metadaten in einer Data-Warehouse-Umgebung?","Metadaten zu Quell- und Zielsystemen, Schemata, technischen Transformations-Mappings, Job-Status und Betriebskennzahlen","week-2 ws25-26 data-warehousing technische-metadaten source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was sind fachliche Metadaten in einer Data-Warehouse-Umgebung?","Metadaten zu Geschäftsbegriffen, konzeptuellen Modellen, Kennzahlbedeutungen, Reports sowie Datenherkunft, Richtigkeit und Aktualität","week-2 ws25-26 data-warehousing fachliche-metadaten source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was ist der zentrale Modellierungsunterschied zwischen klassischem Data Warehouse und Data Lake?","<table><thead><tr><th>Data Warehouse</th><th>Data Lake</th></tr></thead><tbody><tr><td>Schema first oder Schema on Write</td><td>Schema on Read</td></tr><tr><td>Fokus auf strukturierte Daten</td><td>Unterstützt heterogene inklusive unstrukturierte Daten</td></tr></tbody></table>","week-2 ws25-26 data-warehousing dwh-und-big-data source::kapitel-2-architektur-von-data-warehouse-systemen"
"Warum ist ein reiner Data Lake laut Kapitel 2 oft nicht ausreichend?","Weil fehlende Datenintegration die effiziente und konsistente Nutzung erschwert und der Lake deshalb meist als Teil einer umfassenderen Architektur eingesetzt wird","week-2 ws25-26 data-warehousing data-lake source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was kennzeichnet ein Modern Data Warehouse als Kombination aus Warehouse und Data Lake?","<ul><li>Kombination mehrerer spezialisierter Werkzeuge statt monolithischem System</li><li>Parallele Pipelines je nach Datenart und Analyseanforderung</li><li>Geeignet für weitergehende Analysen über klassische Berichte hinaus</li></ul>","week-2 ws25-26 data-warehousing modern-data-warehouse source::kapitel-2-architektur-von-data-warehouse-systemen"
"Welche zusätzlichen Ziele verfolgt eine Data-Fabric-Architektur gegenüber klassischen Hybridansätzen?","<ul><li>Einheitlich verwaltete Metadaten über viele Quellen</li><li>Masterdaten-Management</li><li>Stärkere Echtzeit-Datenaufnahme</li><li>Mehr virtuelle Datenanbindung statt reiner Kopien</li></ul><br><br><div class=""legend"">MDM: Master Data Management</div>","week-2 ws25-26 data-warehousing data-fabric source::kapitel-2-architektur-von-data-warehouse-systemen"
"Was ist die Kernidee eines Data Lakehouse und welcher Tradeoff wird genannt?","Ein Data Lakehouse verbindet Lake-Speicherung mit transaktionalen Funktionen für relationale Nutzung, erreicht aber bei Abfragen häufig geringere Geschwindigkeit als klassische Data-Warehouse-Systeme","week-2 ws25-26 data-warehousing data-lakehouse source::kapitel-2-architektur-von-data-warehouse-systemen"
