"Warum gilt ETL im Data Warehousing als materialisierter Integrationsansatz?","Weil Daten aus Quellen extrahiert, transformiert und als physische integrierte Datenbasis für Analysen im Warehouse gespeichert werden","week-4 ws25-26 data-warehousing etl-ueberblick source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Welche drei Hauptphasen umfasst der ETL-Prozess?","<ul><li><strong>Extraktion</strong>: Auswahl und Übernahme von Quelldaten</li><li><strong>Transformation</strong>: Anpassung an Zielschema und Qualitätsregeln</li><li><strong>Laden</strong>: physisches Einbringen in das Data Warehouse</li></ul><br><br><div class=""legend"">ETL: Extract, Transform, Load</div>","week-4 ws25-26 data-warehousing etl-phasen source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Warum hat ETL einen direkten Einfluss auf die Qualität späterer Analysen?","Fehlerhafte oder inkonsistente Eingabedaten werden ohne wirksame ETL-Bereinigung in Analysen fortgeschrieben, sodass Entscheidungen auf verzerrten Ergebnissen basieren","week-4 ws25-26 data-warehousing etl-qualitaet source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Wie unterscheiden sich ETL und ELT im Integrationsablauf?","<table><thead><tr><th>ETL</th><th>ELT</th></tr></thead><tbody><tr><td>Transformiert vor dem Laden ins Zielsystem</td><td>Lädt zuerst und transformiert danach</td></tr><tr><td>Stark klassisch für Data Warehouse</td><td>Häufig im Data-Lake-Umfeld eingesetzt</td></tr></tbody></table>","week-4 ws25-26 data-warehousing etl-vs-elt source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Auf welchen zwei Ebenen integriert ETL Daten laut Kapitel 4?","<ul><li>Schemaintegration mit Abgleich der Strukturen und Begriffe</li><li>Datenintegration mit Bereinigung und Zusammenführung der Instanzdaten</li></ul>","week-4 ws25-26 data-warehousing etl-integrationsebenen source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Welche Kernanforderungen werden an eine Schemaintegration gestellt?","<ul><li><strong>Minimalität</strong>: keine überflüssige Redundanz</li><li><strong>Korrektheit</strong>: semantisch korrekte und konsistente Integration</li><li><strong>Verständlichkeit</strong> des integrierten Schemas</li></ul>","week-4 ws25-26 data-warehousing schemaintegration-anforderungen source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Was ist der Kernunterschied zwischen Bottom-Up- und Top-Down-Schemaintegration?","<table><thead><tr><th>Bottom-Up</th><th>Top-Down</th></tr></thead><tbody><tr><td>Globales Schema entsteht durch Mischen der Quellschemata</td><td>Globales Schema ist vorgegeben und Quellen werden darauf gemappt</td></tr><tr><td>Neue Quellen ändern oft das globale Schema</td><td>Jede Quelle wird separat gegen das Zielschema abgeglichen</td></tr></tbody></table>","week-4 ws25-26 data-warehousing bottom-up-vs-top-down source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Warum ist Top-Down-Integration für Data-Warehouse-Projekte oft pragmatisch?","Weil das Zielschema fachlich vorgegeben ist und nicht alle Teile aller Quellschemata vollständig global integriert werden müssen","week-4 ws25-26 data-warehousing top-down-integration source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Welche Formen semantischer Heterogenität treten bei Schemata typischerweise auf?","<ul><li>Namenskonflikte wie Synonyme und Homonyme</li><li>Strukturelle Konflikte bei Entitäten, Attributen oder Schlüsseln</li><li>Unterschiedliche Modellierungstiefe und Realitätsausschnitte</li></ul>","week-4 ws25-26 data-warehousing semantische-heterogenitaet source::kapitel-4--etl---datenvorverarbeitung-und--integration"
"Warum ist vollautomatische Schemaintegration laut Vorlesung nicht realistisch?","Semantische Mehrdeutigkeit und begrenzte Aussagekraft reiner Metadaten erfordern Nutzerfeedback und damit mindestens semi-automatische Verfahren","week-4 ws25-26 data-warehousing schemaintegration-automatisierung source::kapitel-4--etl---datenvorverarbeitung-und--integration"
