"Warum sind in Data-Warehouse-Systemen spezielle Performance-Techniken nötig?","Weil sehr große Faktentabellen, mehrdimensionale Filter und Aggregationen mit vielen Nutzern sonst zu unakzeptablen Antwortzeiten führen","week-5 ws25-26 data-warehousing performance-techniken source::kapitel-5-performance-techniken"
"Wie unterscheiden sich ein- und mehrdimensionale Indexstrukturen im Einsatzzweck?","<table><thead><tr><th>Eindimensional</th><th>Mehrdimensional</th></tr></thead><tbody><tr><td>Optimiert für ein Attribut oder eine Attributkombination</td><td>Optimiert für gleichzeitige Bedingungen auf mehreren Dimensionen</td></tr><tr><td>Gut für Punkt- und Bereichsanfragen in einer Ordnung</td><td>Bessere Raumbegrenzung bei multidimensionalen Anfragen</td></tr></tbody></table>","week-5 ws25-26 data-warehousing indexstrukturen source::kapitel-5-performance-techniken"
"Warum reichen klassische eindimensionale B-Baum-Indizes bei multidimensionalen Abfragen oft nicht aus?","Sie begrenzen den Suchraum nur eingeschränkt für kombinierte Bedingungen über mehrere Dimensionen, sodass unnötig viele Datenseiten gelesen werden","week-5 ws25-26 data-warehousing eindimensionale-indizes source::kapitel-5-performance-techniken"
"Was bedeutet eindimensionale Einbettung mehrdimensionaler Daten?","Mehrdimensionale Punkte werden über eine raumfüllende Kurve in eine eindimensionale Ordnung überführt, um sie mit eindimensionalen Indexstrukturen effizient zu verwalten","week-5 ws25-26 data-warehousing eindimensionale-einbettung source::kapitel-5-performance-techniken"
"Was ist das Ziel von Space-Filling-Curves wie Z- oder Hilbert-Kurve bei der Indexierung?","Sie sollen räumliche Nachbarschaft in eine lineare Reihenfolge übertragen, damit Bereichsanfragen möglichst wenige zusammenhängende Indexbereiche lesen","week-5 ws25-26 data-warehousing space-filling-curves source::kapitel-5-performance-techniken"
"Wie arbeitet ein UB-Baum bei mehrdimensionalen Bereichsanfragen?","Er bildet Punkte auf Z-Werte ab, indexiert diese in einem geclusterten B-Baum und durchsucht für eine Bereichsanfrage die relevanten Z-Regionen","week-5 ws25-26 data-warehousing ub-baum source::kapitel-5-performance-techniken"
"Was ist ein Standard-Bitlisten-Index?","Für jeden Attributwert existiert ein Bitvektor mit einem Bit pro Tupel, das markiert, ob das Tupel diesen Wert besitzt","week-5 ws25-26 data-warehousing bitlisten-index source::kapitel-5-performance-techniken"
"Wann sind Bitlisten-Indizes besonders wirksam?","Bei Attributen mit kleiner Wertemenge und geringer Selektivität, weil boolesche Verknüpfungen der Bitlisten viele Datenzugriffe vermeiden","week-5 ws25-26 data-warehousing bitlisten-einsatz source::kapitel-5-performance-techniken"
"Wie unterstützen Bitlisten-Indizes mehrdimensionale Filterbedingungen?","Mehrere Bedingungen werden per AND, OR und NOT direkt auf Bitvektoren kombiniert und liefern so schnell die relevanten Tupelpositionen","week-5 ws25-26 data-warehousing bitlisten-boolesche-operationen source::kapitel-5-performance-techniken"
"Was ist die Idee eines Bitlisten-Join-Index im Star-Schema?","Dimensionsattribute werden als Bitlisten direkt auf Faktentupel abgebildet, sodass Join-Ergebnisse für Filterbedingungen effektiv vorweggenommen werden","week-5 ws25-26 data-warehousing bitlisten-join-index source::kapitel-5-performance-techniken"
"Welchen Vorteil haben bereichskodierte Bitlisten bei Bereichsanfragen?","Sie kodieren kleiner-gleich-Beziehungen pro Wert, sodass typische Bereichsbedingungen mit höchstens zwei Bitlisten auswertbar sind","week-5 ws25-26 data-warehousing bereichskodierte-bitlisten source::kapitel-5-performance-techniken"
"Was ist der Kernnutzen intervallkodierter Bitlisten-Indizes?","Sie reduzieren den Speicherbedarf durch Intervallkodierung und beantworten Punkt- und Bereichsanfragen weiterhin mit sehr wenigen Bitlisten","week-5 ws25-26 data-warehousing intervallkodierte-bitlisten source::kapitel-5-performance-techniken"
