"Was ist das Ziel von Knowledge Discovery in Databases (KDD)?","Die semi-automatische Gewinnung statistisch gültiger, zuvor unbekannter und potenziell nützlicher Muster aus Daten","week-6 ws25-26 data-warehousing kdd-prozess source::kapitel-6-ueberblick-data-miningml"
"Welche Hauptphasen umfasst der KDD-Prozess in der Vorlesung?","<ol><li>Selektion der relevanten Daten</li><li>Vorverarbeitung und Transformation</li><li>Data Mining zur Mustererkennung</li><li>Interpretation und Bewertung der Ergebnisse</li></ol>","week-6 ws25-26 data-warehousing kdd-phasen source::kapitel-6-ueberblick-data-miningml"
"Wie grenzt die Vorlesung Data Mining von maschinellem Lernen ab?","Data Mining fokussiert die effiziente Mustererkennung in großen Datenmengen, während maschinelles Lernen lernbasierte Modelle für Vorhersagen und Wissensgenerierung bereitstellt","week-6 ws25-26 data-warehousing data-mining-vs-ml source::kapitel-6-ueberblick-data-miningml"
"Warum ist Datenvorverarbeitung vor Data-Mining- oder ML-Verfahren zentral?","Weil Diskretisierung, Feature-Extraktion und Ableitung aussagekräftiger Attribute die Musterqualität und Generalisierbarkeit entscheidend verbessern","week-6 ws25-26 data-warehousing datenvorverarbeitung-ml source::kapitel-6-ueberblick-data-miningml"
"Welche drei Verfahrensklassen stehen im Zentrum von Kapitel 6?","<ul><li>Assoziationsregeln</li><li>Clusteranalyse</li><li>Klassifikation</li></ul>","week-6 ws25-26 data-warehousing verfahrensklassen source::kapitel-6-ueberblick-data-miningml"
"Was beschreibt eine Assoziationsregel in der Warenkorbanalyse?","Eine Regel \\(X \\to Y\\), die ausdrückt, dass das gemeinsame Auftreten von Items in \\(X\\) mit dem Auftreten von Items in \\(Y\\) zusammenhängt","week-6 ws25-26 data-warehousing assoziationsregeln source::kapitel-6-ueberblick-data-miningml"
"Wie ist der Support einer Assoziationsregel definiert?","Als Anteil der Transaktionen, die sowohl die Items aus Regelrumpf als auch Regelkopf enthalten","week-6 ws25-26 data-warehousing support source::kapitel-6-ueberblick-data-miningml"
"Wie ist die Konfidenz einer Assoziationsregel \\(X \\to Y\\) definiert?","Als bedingter Anteil der Transaktionen mit \\(X\\), die zusätzlich auch \\(Y\\) enthalten","week-6 ws25-26 data-warehousing konfidenz source::kapitel-6-ueberblick-data-miningml"
"Welche Kernidee nutzt der A-Priori-Algorithmus zur Kandidatenreduktion?","Die Anti-Monotonie häufiger Itemsets: Ist eine Menge häufig, sind alle Teilmengen häufig, und ist eine Menge selten, sind alle Obermengen selten","week-6 ws25-26 data-warehousing apriori-idee source::kapitel-6-ueberblick-data-miningml"
"Wie arbeitet der A-Priori-Algorithmus grundsätzlich iterativ?","Er bestimmt zunächst häufige 1-Itemsets und erzeugt daraus schrittweise größere Kandidatenmengen, die per Support-Schwelle gepruned werden","week-6 ws25-26 data-warehousing apriori-ablauf source::kapitel-6-ueberblick-data-miningml"
