id,front,back,source_file,tag
"20260212-1051-23-1","Was ist die Grobdefinition eines Data Warehouse?","Eine für Analysezwecke optimierte zentrale Datenbank, die Daten aus mehreren meist heterogenen Quellen integriert, transformiert und verdichtet","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing definition source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-2","Welches Grundproblem soll Data Warehousing in Unternehmen lösen?","Unternehmen besitzen große Datenmengen, können daraus aber ohne geeignete Aufbereitung oft nicht genug entscheidungsrelevante Informationen ableiten","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing motivation source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-3","Welche vier Kerneigenschaften definiert Inmon für ein Data Warehouse?","<ul><li><strong>Subject-oriented</strong></li><li><strong>Integrated</strong></li><li><strong>Non-volatile</strong></li><li><strong>Time-variant</strong></li></ul>","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing inmon source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-4","Was bedeutet subject-oriented im Kontext eines Data Warehouse?","Daten werden themenorientiert über Subjekte wie Kunden, Produkte oder Regionen organisiert statt entlang einzelner operativer Anwendungen","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing inmon-subject-oriented source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-5","Was bedeutet integrated im Kontext eines Data Warehouse?","Daten aus verschiedenen operativen Quellen werden in ein einheitliches, konsistentes Format überführt","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing inmon-integrated source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-6","Was bedeutet non-volatile im Kontext eines Data Warehouse?","Nach dem Laden werden Daten typischerweise nicht mehr laufend durch Update, Delete oder Insert verändert, sondern stabil für Analysen bereitgehalten","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing inmon-non-volatile source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-7","Was bedeutet time-variant im Kontext eines Data Warehouse?","Ein Data Warehouse speichert historisierte Daten mit explizitem Zeitbezug über längere Zeiträume, sodass Zeitreihen- und Vergleichsanalysen möglich werden","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing inmon-time-variant source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-8","Was ist der Kernunterschied zwischen OLTP und OLAP?","<table><thead><tr><th>OLTP</th><th>OLAP</th></tr></thead><tbody><tr><td>Tagesgeschäft und Transaktionen</td><td>Analyse und Entscheidungsunterstützung</td></tr><tr><td>Sehr häufige kurze Zugriffe, auch schreibend</td><td>Moderate Zugriffe auf große Datenmengen, vorwiegend lesend</td></tr><tr><td>Hoher Durchsatz und sehr kurze Antwortzeiten</td><td>Gute Antwortzeiten für komplexe Analysen</td></tr></tbody></table><br><br><div class=""legend"">OLTP: Online Transaction Processing<br>OLAP: Online Analytical Processing</div>","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing oltp-vs-olap source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-9","Warum wird ein Data Warehouse oft separat von operativen Datenbanken betrieben?","<ul><li>Unterschiedliche Nutzung und Datenstrukturierung</li><li>Historisierte und konsolidierte Daten sind erforderlich</li><li>Komplexe Analysen sollen operative Transaktionen nicht ausbremsen</li><li>Analytische Systeme benötigen eigenes logisches und physisches Datenmodell</li></ul>","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing separation source::kapitel-1-data-warehouses---einfuehrung"
"20260212-1051-23-10","Welche Nachteile hat ein separates Data Warehouse laut Einführung?","<ul><li>Datenredundanz</li><li>Daten sind nicht vollständig aktuell</li><li>Hoher Administrationsaufwand</li><li>Hohe Kosten</li></ul>","Kapitel 1 Data Warehouses - Einführung.txt","week-1 ws25-26 data-warehousing tradeoffs source::kapitel-1-data-warehouses---einfuehrung"
