"Was ist eine Schwachstelle in der IT-Sicherheit?","<blockquote>Eine <strong>Schwachstelle</strong> ist eine Eigenschaft, die ausgenutzt werden kann, um einen Schaden zu verursachen.</blockquote>","week-1 WS25/26 einfuehrung grundbegriffe it-sicherheit source::01-einfuehrung"
"Was ist eine Bedrohung in der IT-Sicherheit?","<blockquote>Eine <strong>Bedrohung</strong> sind Umstände, die einen Schaden verursachen können.</blockquote>","week-1 WS25/26 einfuehrung grundbegriffe it-sicherheit source::01-einfuehrung"
"Was ist eine (Gegen-)Maßnahme in der IT-Sicherheit?","<ul><li>Eine <strong>Aktion</strong>, ein <strong>Gerät</strong>, ein <strong>Prozess</strong> oder eine <strong>Technik</strong>,</li><li>die eine Schwachstelle <strong>entfernt</strong> oder deren Schaden <strong>reduziert</strong>.</li></ul>","week-1 WS25/26 einfuehrung grundbegriffe it-sicherheit source::01-einfuehrung"
"Welche vier grundlegenden Möglichkeiten gibt es, Schaden zu verursachen?","<ul><li><strong>Abfangen</strong></li><li><strong>Modifizieren</strong></li><li><strong>Unterbrechen</strong></li><li><strong>Einschleusen</strong></li></ul>","week-1 WS25/26 einfuehrung schutzziele it-sicherheit source::01-einfuehrung"
"Welche drei Schutzziele umfasst die „Security Triad“ (CIA)?","<table><thead><tr><th>Schutzziel</th><th>Kurzbeschreibung</th></tr></thead><tbody><tr><td><strong>Vertraulichkeit</strong></td><td>Asset ist nur <strong>Autorisierten</strong> zugänglich.</td></tr><tr><td><strong>Integrität</strong></td><td>Asset kann nur von <strong>Autorisierten</strong> modifiziert werden.</td></tr><tr><td><strong>Verfügbarkeit</strong></td><td>Asset kann von <strong>Autorisierten</strong> genutzt werden.</td></tr></tbody></table>","week-1 WS25/26 einfuehrung schutzziele cia it-sicherheit source::01-einfuehrung"
"Welche zusätzlichen Schutzziele nennt ISO 7498-2 neben der CIA-Triad?","<ul><li><strong>Authentisierung</strong>: Identität eines Senders wird überprüft.</li><li><strong>Nichtabstreitbarkeit</strong>: Sender kann nicht abstreiten, eine Nachricht gesendet zu haben.</li></ul>","week-1 WS25/26 einfuehrung schutzziele iso-7498-2 it-sicherheit source::01-einfuehrung"
"Welches zusätzliche Schutzziel nennt das US Department of Defense?","<ul><li><strong>Auditierbarkeit</strong>: Alle Aktionen mit dem Asset sind nachvollziehbar.</li></ul>","week-1 WS25/26 einfuehrung schutzziele auditierbarkeit it-sicherheit source::01-einfuehrung"
"Welche Informationen können trotz Vertraulichkeit indirekt preisgegeben werden?","<ul><li><strong>Wertebereich</strong> der Daten</li><li><strong>Metadaten</strong> (Sprache, Länge, Erstellzeit, ...)</li><li>Dass <strong>auf Daten zugegriffen wurde</strong></li><li>Dass Daten <strong>überhaupt existieren</strong></li><li>Dass <strong>jemand anderes</strong> darauf zugreifen möchte</li></ul>","week-1 WS25/26 einfuehrung vertraulichkeit it-sicherheit source::01-einfuehrung"
"Welche Aspekte kann „Integrität“ je nach Kontext bedeuten?","<ul><li><strong>Objektiv korrekt</strong></li><li><strong>Nur erlaubt verändert</strong></li><li><strong>Nur von Autorisierten verändert</strong></li><li><strong>Konsistent</strong> mit anderen Daten</li><li><strong>In sich konsistent</strong></li><li><strong>Für die Anwendung sinnvoll</strong></li></ul>","week-1 WS25/26 einfuehrung integritaet it-sicherheit source::01-einfuehrung"
"Wann gilt ein Prozess als verfügbar?","<ul><li>Er stellt sich in <strong>nützlicher Form</strong> dar.</li><li>Er hat die <strong>Kapazität</strong>, um Anforderungen zu erfüllen.</li><li>Er zeigt <strong>sichtbar und zuverlässig</strong> Rückmeldung zum Fortschritt.</li><li>Er wird in <strong>akzeptabler Zeit</strong> fertig.</li></ul>","week-1 WS25/26 einfuehrung verfuegbarkeit it-sicherheit source::01-einfuehrung"
"Was ist ein Schaden im Kontext der IT-Sicherheit?","<blockquote>Ein <strong>Schaden</strong> ist eine negative Konsequenz aus einer Bedrohung.</blockquote>","week-1 WS25/26 einfuehrung risikomanagement it-sicherheit source::01-einfuehrung"
"Was bedeutet Risikomanagement in der IT-Sicherheit?","<ul><li><strong>Risikomanagement</strong>: entscheiden, welche Bedrohungen die meiste Aufmerksamkeit und Ressourcen benötigen.</li><li><strong>Restrisiko</strong>: Risiko, das ohne Maßnahmen akzeptiert wird.</li></ul>","week-1 WS25/26 einfuehrung risikomanagement it-sicherheit source::01-einfuehrung"
"Welche drei Faktoren müssen zusammenkommen, damit ein Angriff erfolgreich ist?","<ul><li><strong>Methode/Möglichkeit</strong> (wie der Angriff durchgeführt wird)</li><li><strong>Fähigkeiten/Wissen/Ressourcen</strong></li><li><strong>Motiv</strong> (Grund für den Angriff)</li></ul>","week-1 WS25/26 einfuehrung angriffe it-sicherheit source::01-einfuehrung"
"Welche sechs Strategien gibt es zum Umgang mit Angriffen?","<ol><li><strong>Verhindern</strong> (Angriff blockieren)</li><li><strong>Erschweren</strong> (Erfolgswahrscheinlichkeit reduzieren)</li><li><strong>Umlenken</strong> (Motivation reduzieren)</li><li><strong>Abmildern</strong> (Auswirkungen reduzieren)</li><li><strong>Erkennen</strong> (Angriffe feststellen)</li><li><strong>Erholen</strong> (Schaden beheben)</li></ol>","week-1 WS25/26 einfuehrung angriffe it-sicherheit source::01-einfuehrung"
