"Was ist der Unterschied zwischen Identifikation und Authentifizierung?","<ul><li><strong>Identifikation</strong>: Zuordnung einer Identität (oft öffentlich) zu einer Person/Entität.</li><li><strong>Authentifizierung</strong>: Nachweis, dass die Person tatsächlich diese Identität besitzt (private Merkmale).</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit identifikation authentifizierung source::03-zugriffskontrolle"
"Warum darf Authentifizierung nicht für Identifikation benutzt werden?","<blockquote>Authentifizierungsmerkmale sind nicht eindeutig genug, um eine Person sicher zu identifizieren.</blockquote><ul><li>Beispiel: Ein Passwort- oder Fingerabdruck-Hash ist nicht zwingend eindeutig.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit identifikation authentifizierung source::03-zugriffskontrolle"
"Welche drei Kategorien von Faktoren gibt es zur Bestätigung einer Identität?","<ul><li><strong>Etwas, das die Person weiß</strong> (z.B. Passwort, PIN)</li><li><strong>Etwas, das die Person ist</strong> (Biometrie)</li><li><strong>Etwas, das die Person hat</strong> (Token, Ausweis)</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit authentifizierung faktoren source::03-zugriffskontrolle"
"Welche praktischen Probleme entstehen, wenn Systeme starke Passwörter erzwingen?","<ul><li>Passwörter werden <strong>aufgeschrieben</strong> (Post-its, Zettel).</li><li>Dadurch entstehen neue <strong>Angriffsflächen</strong>.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit passwoerter schwachstellen source::03-zugriffskontrolle"
"Welche zentralen Herausforderungen gibt es bei der Nutzung von Passwörtern?","<ul><li><strong>Nutzung</strong>: Ein eigenes Passwort pro Asset ist unpraktisch.</li><li><strong>Enthüllung</strong>: Passwörter können ausgespäht oder weitergegeben werden.</li><li><strong>Zurückziehen</strong>: Was passiert mit aktiven Sessions/Assets?</li><li><strong>Verlust</strong>: Sicherer Reset ist schwierig.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit passwoerter schwachstellen source::03-zugriffskontrolle"
"Warum sind Passwort-Reset-Prozesse häufig ein Sicherheitsproblem?","<blockquote>Oft kein technisches Problem, sondern ein Bug in der <strong>Business Logic</strong>.</blockquote><ul><li>Antworten auf Sicherheitsfragen lassen sich häufig recherchieren.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit passwoerter reset source::03-zugriffskontrolle"
"Wie wirkt eine Sperre nach mehreren falschen Passwortversuchen – und welches Risiko erzeugt sie?","<ul><li><strong>Vorteil</strong>: Erschwert massenhaftes Erraten (Rate-Limiting).</li><li><strong>Risiko</strong>: Kann als <strong>Denial of Service</strong> gegen Nutzer missbraucht werden.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit passwoerter angriffe source::03-zugriffskontrolle"
"Warum ist die effektive Passwortsuche in der Praxis kleiner als der theoretische Suchraum?","<ul><li>Angreifer nutzen typische Muster: Namen, Wörterbuchwörter, einfache Ersetzungen und bekannte Muster.</li><li>Brute-Force aller Kombinationen kommt erst sehr spät.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit passwoerter angriffe source::03-zugriffskontrolle"
"Welche drei kritischen Eigenschaften biometrischer Merkmale nennt die Vorlesung?","<ul><li><strong>Unveränderlich</strong> (einmal kompromittiert, immer kompromittiert)</li><li><strong>Besonders sensibel</strong> (tiefer Eingriff in Privatsphäre)</li><li><strong>Manipulierbar</strong> (z.B. Fake-Fingerabdruck, Foto, Stimme)</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit biometrie schwachstellen source::03-zugriffskontrolle"
"Warum sind biometrische Systeme schwer sicher zu beweisen?","<ul><li><strong>Sicherheitsbeweis unmöglich</strong>; es gibt nur statistische Aussagen aus Studien.</li><li>Schwellwerte führen zu <strong>False Positives</strong> und <strong>False Negatives</strong>.</li></ul>","week-3 WS25/26 zugriffskontrolle it-sicherheit biometrie source::03-zugriffskontrolle"
