"Welche drei Angriffsziele nennt das Kapitel Web-Sicherheit?","<ul><li><strong>Browser</strong> (Browser tut etwas, das er nicht soll)</li><li><strong>Benutzer</strong> (Nutzer tut etwas, das er nicht will)</li><li><strong>Server</strong> (Server tut etwas, das er nicht soll)</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe web source::04-web-sicherheit"
"Warum sind Webbrowser aus Sicherheitssicht besonders kritisch?","<ul><li>Viele <strong>Plugins/Add-ons</strong> und aktive Inhalte.</li><li>Große <strong>Heterogenität</strong> (Browser, OS, Versionen).</li><li>Browser hat Zugriff auf Ressourcen <strong>mit den Rechten des Nutzers</strong>.</li><li>Einbindung vieler <strong>Drittquellen</strong> (Tracking, Werbung).</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit browser sicherheit source::04-web-sicherheit"
"Was ist ein Man-in-the-Browser-Angriff?","<blockquote>Schadcode infiziert den Browser und fängt/manipuliert Daten, bevor TLS sie schützt.</blockquote><ul><li>Angreifer kann alles, was der Browser darf.</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe browser source::04-web-sicherheit"
"Nenne typische Angriffstechniken, um Nutzer auf falsche Webseiten zu lenken.","<ul><li><strong>Phishing</strong></li><li><strong>DNS Spoofing/Injection</strong></li><li><strong>URL Redirection</strong></li><li><strong>Proxy-Angriffe</strong></li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe browser phishing source::04-web-sicherheit"
"Was ist Download Substitution?","<blockquote>Statt der erwarteten Datei liefert ein Angreifer eine manipulierte Datei.</blockquote><ul><li>Nutzer will installieren und klickt Warnungen eher weg.</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe browser source::04-web-sicherheit"
"Welche Angriffsarten zählen zu „Angriffe auf den Nutzer“?","<ul><li><strong>Website Defacement</strong></li><li><strong>Fake-Webseiten</strong></li><li><strong>Fake-Code</strong> (manipulierte Downloads)</li><li><strong>Clickjacking</strong></li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe nutzer source::04-web-sicherheit"
"Was ist Clickjacking?","<blockquote>Unsichtbare/überlagerte Elemente verleiten zu Klicks auf etwas anderes als gedacht.</blockquote><ul><li>Angriffe oft mit transparenten Layern oder <code>&lt;iframe&gt;</code>.</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit clickjacking angriffe source::04-web-sicherheit"
"Welche typischen Angriffe auf Webserver nennt das Kapitel?","<ul><li><strong>Cross-Site Scripting (XSS)</strong></li><li><strong>SQL Injection</strong></li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe server source::04-web-sicherheit"
"Warum funktionieren viele Webserver-Angriffe trotz Server-Schutz?","<ul><li>Ungeprüfte <strong>Eingaben</strong> aus unsicheren Umgebungen.</li><li>Annahme, dass Nutzer sich „korrekt“ verhalten.</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit angriffe server source::04-web-sicherheit"
"Was ist der Unterschied zwischen Data Origin Authentication und Entity Authentication?","<ul><li><strong>Data Origin Authentication</strong>: Nachricht stammt vom Besitzer des Signaturschlüssels und wurde nicht verändert.</li><li><strong>Entity Authentication</strong>: Prüfung, ob die behauptete Identität wirklich korrekt ist.</li></ul>","week-4 WS25/26 web-sicherheit it-sicherheit authentifizierung source::04-web-sicherheit"
