id,front,back,source_file,tag
"20260209-1233-45-1","Welche vier klassischen Angreifermodelle werden in der Kryptographie unterschieden?","<ul><li><strong>Ciphertext-Only</strong>: Angreifer kennt nur den Ciphertext.</li><li><strong>Known-Plaintext</strong>: Angreifer kennt Ciphertext–Klartext-Paare.</li><li><strong>Chosen-Plaintext</strong>: Angreifer kann zu gewählten Klartexten Ciphertexte erzeugen.</li><li><strong>Chosen-Ciphertext</strong>: Angreifer kann zu gewählten Ciphertexten Klartexte erhalten.</li></ul>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit angreifermodelle source::02-encryption"
"20260209-1233-45-2","Welche Bedingungen muss der Schlüssel beim One-Time Pad erfüllen, damit perfekte Sicherheit gilt?","<ul><li><strong>Echt zufällig</strong></li><li><strong>Gleich lang</strong> wie die Nachricht</li><li><strong>Gleichverteilung</strong> der Bits</li><li><strong>Geheim</strong></li><li><strong>Nur einmal verwendet</strong></li></ul>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit one-time-pad source::02-encryption"
"20260209-1233-45-3","Wie läuft der grundsätzliche Ablauf beim One-Time Pad ab?","Verschlüsselung und Entschlüsselung erfolgen bitweise mit <strong>XOR</strong> zwischen Klartext und Schlüsselstrom: <blockquote>Encryption: \(C = P \oplus K\) und Decryption: \(P = C \oplus K\)</blockquote>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit one-time-pad source::02-encryption"
"20260209-1233-45-4","Was ist der grundsätzliche Ablauf einer Blockchiffre als Substitutions-Permutations-Netzwerk (SPN)?","<ol><li>Aus dem Schlüssel werden <strong>Rundenschlüssel</strong> abgeleitet.</li><li>Mehrere Runden: Rundenschlüssel hinzufügen, dann <strong>Substitution (S-Box)</strong> und <strong>Permutation (P-Box)</strong>.</li><li>In der letzten Runde nochmals <strong>Rundenschlüssel addieren</strong>.</li><li>Entschlüsselung erfolgt analog in umgekehrter Reihenfolge.</li></ol>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit blockchiffre spn source::02-encryption"
"20260209-1233-45-5","Wie ist der grundsätzliche Ablauf der AES-Verschlüsselung aufgebaut?","AES arbeitet in Runden über einen 128-Bit-Block: <ul><li><strong>AddRoundKey</strong> (XOR mit Rundenschlüssel)</li><li><strong>SubBytes</strong> (S-Box-Substitution)</li><li><strong>ShiftRows</strong> (Zeilenverschiebung)</li><li><strong>MixColumns</strong> (Spaltenmischung)</li></ul>In der <strong>letzten Runde</strong> entfällt MixColumns; die letzte Operation ist <strong>AddRoundKey</strong>.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit aes blockchiffre source::02-encryption"
"20260209-1233-45-6","Wie wird der AES-Datenblock intern repräsentiert?","Als <strong>4×4-Tabelle</strong> aus Bytes (State). Das sind <strong>16 Bytes = 128 Bit</strong> pro Block.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit aes source::02-encryption"
"20260209-1233-45-7","Was macht die Operation AddRoundKey in AES?","<strong>Bitweises XOR</strong> zwischen State-Block und Rundenschlüssel. Es ist der Schritt, in dem der Schlüssel direkt eingebracht wird.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit aes source::02-encryption"
"20260209-1233-45-8","Was ist die Grundidee hinter RSA als Public-Key-Verfahren?","RSA nutzt eine <strong>Trapdoor-Funktion</strong>: Die <strong>Multiplikation</strong> großer Primzahlen ist leicht, die <strong>Primfaktorzerlegung</strong> des Produkts ist schwer. So kann der öffentliche Schlüssel veröffentlicht werden, während der private geheim bleibt.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit rsa asymmetrisch source::02-encryption"
"20260209-1233-45-9","Wie läuft die RSA-Schlüsselerzeugung grundsätzlich ab?","<ol><li>Wähle große Primzahlen \(p,q\).</li><li>Berechne \(N = p \cdot q\).</li><li>Berechne \(\varphi(N) = (p-1)(q-1)\).</li><li>Wähle \(e\) teilerfremd zu \(\varphi(N)\).</li><li>Bestimme \(d\) mit \(d \cdot e \equiv 1 \pmod{\varphi(N)}\).</li><li>Public Key \((N,e)\), Private Key \((N,d)\).</li></ol>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit rsa asymmetrisch source::02-encryption"
"20260209-1233-45-10","Wie lauten die RSA-Verschlüsselungs- und Entschlüsselungsformeln?","<ul><li><strong>Verschlüsselung</strong>: \(C = K^{e} \bmod N\)</li><li><strong>Entschlüsselung</strong>: \(K = C^{d} \bmod N\)</li></ul>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit rsa asymmetrisch source::02-encryption"
"20260209-1233-45-11","Was ist die Grundidee der Stromverschlüsselung (Stream Cipher)?","Aus dem Schlüssel wird ein <strong>Schlüsselstrom</strong> erzeugt, der <strong>bitweise</strong> mit dem Klartext per XOR verknüpft wird: \(C_i = P_i \oplus K_i\).","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit stromverschluesselung source::02-encryption"
"20260209-1233-45-12","Worin liegt die zentrale Idee probabilistischer Verschlüsselung?","Die Verschlüsselung nutzt <strong>Zufall</strong>, sodass derselbe Klartext zu <strong>verschiedenen Ciphertexten</strong> führt. Dadurch werden <strong>Frequenz- und Zuordnungsangriffe</strong> erschwert.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit probabilistische-verschluesselung source::02-encryption"
"20260209-1233-45-13","Was ist Secure Multiparty Computation (SMC)?","Ein <strong>verteiltes Protokoll</strong>, bei dem mehrere Parteien mit <strong>geheimen Eingaben</strong> gemeinsam ein öffentliches Ergebnis berechnen, <strong>ohne</strong> ihre Rohdaten auszutauschen.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit secure-multiparty-computation source::02-encryption"
"20260209-1233-45-14","Welche Schutzziele verfolgt Secure Multiparty Computation (SMC)?","<ul><li><strong>Correctness</strong>: Ergebnis ist korrekt.</li><li><strong>Privacy</strong>: Eingabedaten (und ggf. deren Herkunft) bleiben geheim.</li><li><strong>Output Delivery</strong>: Alle Parteien erhalten das Ergebnis.</li><li><strong>Fairness</strong>: Entweder alle erhalten das Ergebnis oder niemand.</li></ul>","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit secure-multiparty-computation source::02-encryption"
"20260209-1233-45-15","Warum gilt eine Blockchiffre im ECB-Modus als problematisch?","Im <strong>ECB-Modus</strong> wird jeder Block separat verschlüsselt. <strong>Identische Klartextblöcke</strong> erzeugen identische Ciphertextblöcke, wodurch <strong>Muster sichtbar</strong> bleiben.","02-encryption.txt","week-2 WS25/26 kryptographie it-sicherheit blockchiffre ecb source::02-encryption"
