"Was ist ein Graph in der Form \(G=(V,E)\)?","<blockquote>Ein Graph besteht aus einer <strong>Knotenmenge</strong> \(V\) und einer <strong>Kantenmenge</strong> \(E\), die Knotenpaare verbindet.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01"
"Was ist das Ziel von Community Detection in Graphen?","<blockquote>Suche nach <strong>Gruppen von Knoten</strong> mit hoher Kantendichte innerhalb der Gruppe und geringerer Dichte nach außen.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 community"
"Wie ist Edge-Betweenness einer Kante definiert?","<blockquote>Anzahl aller <strong>kürzesten Pfade</strong>, die durch die Kante verlaufen; bei \(x\) kürzesten Pfaden zwischen zwei Knoten wird <strong>\(1/x\)</strong> addiert.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 edge-betweenness"
"Warum ist eine Kante mit hoher Edge-Betweenness oft eine Brücke zwischen Communities?","<blockquote>Viele kürzeste Pfade zwischen Gruppen laufen über diese Kante – sie wirkt als <strong>Brücke</strong>.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 edge-betweenness"
"Welche Schritte hat der Girvan-Newman-Algorithmus?","<ol><li>Berechne Edge-Betweenness aller Kanten.</li><li>Entferne die Kante mit maximaler Edge-Betweenness.</li><li>Wiederhole bis gewünschte Clusterzahl erreicht.</li><li><strong>Verbundene Komponenten</strong> sind die Cluster.</li></ol>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 girvan-newman"
"Warum ergibt der Girvan-Newman-Algorithmus ein hierarchisches Clustering?","<blockquote>Durch das <strong>schrittweise Entfernen</strong> von Kanten entsteht eine hierarchische Zerlegung in Komponenten.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 girvan-newman"
"Wie wird Edge-Betweenness (BFS-Variante) berechnet?","<ol><li>BFS-Level vom Startknoten erstellen.</li><li>Anzahl kürzester Pfade zu jedem Knoten berechnen.</li><li>Flow bottom-up über Vorgängerkanten verteilen.</li><li>Für alle Startknoten wiederholen, Kanten-Flows aufsummieren und durch 2 teilen.</li></ol>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 edge-betweenness"
"Was misst die Modularität einer Graph-Partitionierung?","<blockquote>Sie vergleicht die <strong>tatsächliche Anzahl interner Kanten</strong> mit dem erwarteten Anteil in einem Zufallsgraph und misst die <strong>Güte</strong> der Partition.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 modularity"
"In welchem Bereich liegt die Modularität \(Q\) und was bedeutet \(Q>0\)?","<ul><li>\(Q \in [-1,1]\).</li><li><strong>\(Q>0\)</strong>: mehr Kanten innerhalb der Cluster als im Zufallsgraph erwartet.</li></ul>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 modularity"
"Wie nutzt Girvan-Newman die Modularität?","<blockquote>Sie dient zur Auswahl einer <strong>optimalen Partitionierung</strong> (Anzahl/Struktur der Cluster).</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 modularity girvan-newman"
"Welche Grundschritte hat Spectral Clustering (Graph → Clustering)?","<ol><li>Graph in Matrixform überführen (Adjazenz/Grad/Laplace).</li><li>Eigenwerte und Eigenvektoren berechnen.</li><li>Zweiten (und ggf. weitere) Eigenvektoren zur Aufteilung nutzen.</li></ol>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 spectral-clustering"
"Wie wird die Laplace-Matrix eines Graphen gebildet?","<blockquote>\(L = D - A\), wobei <strong>A</strong> die Adjazenzmatrix und <strong>D</strong> die Gradmatrix ist.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 laplacian"
"Was ist die Gradmatrix \(D\) eines Graphen?","<blockquote><strong>Diagonalmatrix</strong> mit den Knotengraden auf der Diagonale.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 laplacian"
"Welche Rolle spielt der zweitkleinste Eigenvektor der Laplace-Matrix im Spectral Clustering?","<blockquote>Der Eigenvektor zu \(\lambda_2\) (Fiedler-Vektor) dient zur <strong>Aufteilung in zwei Cluster</strong> (z.B. nach Vorzeichen/Schwellenwert).</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 spectral-clustering"
"Wie erhält man mehr als zwei Cluster beim Spectral Clustering?","<blockquote>Durch <strong>weitere Eigenvektoren</strong> (z.B. drittkleinster) und eine gemeinsame Partitionierung.</blockquote>","week-8 ws-25-26 community-detection graph-data spectral-clustering data-mining source::kapitel-8---folien-[updated-14.01 spectral-clustering"
