"id","front","back","source_file","tag"
"20260206-1105-21-1","Was ist Data Mining?","Der Prozess, aus großen Datenmengen interessante Muster und nützliches Wissen zu entdecken.","Kapitel 1 - Folien.txt","week-1 wise-25-26 definition data-mining source::kapitel-1-folien"
"20260206-1105-21-2","Welches Ziel verfolgt Data Mining?","Versteckte Muster und Strukturen in Datenbeständen mit statistischen Methoden aufdecken, um neue Erkenntnisse, Querverbindungen und Trends zu erkennen.","Kapitel 1 - Folien.txt","week-1 wise-25-26 goal data-mining source::kapitel-1-folien"
"20260206-1105-21-3","Nenne typische Anwendungen von Data Mining.","Warenkorbanalysen, Kreditwürdigkeits- und Betrugserkennung in Banken/Versicherungen, personalisierte Medikamente und Nebenwirkungsanalyse in der Pharmaindustrie, Muster in Genaktivitäten/-mutationen (Medizin/Bioinformatik).","Kapitel 1 - Folien.txt","week-1 wise-25-26 applications data-mining source::kapitel-1-folien"
"20260206-1105-21-4","Aus welchen Bereichen speist sich Data Mining?","Datenbanken, Statistik/Datenanalyse und Maschinelles Lernen.","Kapitel 1 - Folien.txt","week-1 wise-25-26 roots data-mining source::kapitel-1-folien"
"20260206-1105-21-5","Welche Herausforderungen sind typisch für Data Mining?","Große Datenmenge, hohe Dimensionalität, Heterogenität, Komplexität, Verteiltheit.","Kapitel 1 - Folien.txt","week-1 wise-25-26 challenges data-mining source::kapitel-1-folien""20260206-1112-05-1","Was ist das Ziel von Clustering?","Datenpunkte so zu gruppieren, dass die paarweisen Distanzen innerhalb eines Clusters klein und zwischen verschiedenen Clustern groß sind.","Kapitel 2 - Folien.txt","week-2 wise-25-26 clustering objective data-mining source::kapitel-2-folien"
"20260206-1112-05-2","Wie ist die euklidische Distanz zwischen zwei Punkten definiert?","Als Wurzel der Summe der quadrierten Koordinatendifferenzen.","Kapitel 2 - Folien.txt","week-2 wise-25-26 distance-metrics clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-3","Wie ist die Manhattan-Distanz zwischen zwei Punkten definiert?","Als Summe der absoluten Koordinatendifferenzen.","Kapitel 2 - Folien.txt","week-2 wise-25-26 distance-metrics clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-4","Wann ist eine direkte Visualisierung von Clustering-Ergebnissen möglich?","Nur bei zwei Dimensionen.","Kapitel 2 - Folien.txt","week-2 wise-25-26 clustering visualization data-mining source::kapitel-2-folien"
"20260206-1112-05-5","Was ist die Interquartilsabstand (IQR) in einem Boxplot?","Die Differenz zwischen dem dritten und dem ersten Quartil: IQR = Q3 - Q1.","Kapitel 2 - Folien.txt","week-2 wise-25-26 boxplot visualization data-mining source::kapitel-2-folien"
"20260206-1112-05-6","Wie werden die Whiskers in einem Boxplot definiert?","Sie reichen von Q1 - 1,5*IQR bis Q3 + 1,5*IQR; der Whisker endet am letzten Datenpunkt innerhalb dieses Bereichs.","Kapitel 2 - Folien.txt","week-2 wise-25-26 boxplot visualization data-mining source::kapitel-2-folien"
"20260206-1112-05-7","Wann gilt ein Datenpunkt im Boxplot als Ausreißer?","Wenn er außerhalb der Whiskers liegt.","Kapitel 2 - Folien.txt","week-2 wise-25-26 boxplot visualization data-mining source::kapitel-2-folien"
"20260206-1112-05-8","Warum ist Clustering für große Datenmengen rechnerisch anspruchsvoll?","Es gibt k^N mögliche Zuordnungen der N Punkte zu k Clustern, und paarweise Ähnlichkeitsberechnungen kosten O(N^2).","Kapitel 2 - Folien.txt","week-2 wise-25-26 clustering complexity data-mining source::kapitel-2-folien"
"20260206-1112-05-9","Was besagt der Fluch der hohen Dimensionen für Distanzen?","In sehr hohen Dimensionen haben fast alle Paare von Datenpunkten eine ähnliche Distanz.","Kapitel 2 - Folien.txt","week-2 wise-25-26 curse-of-dimensionality clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-10","Was ist der Unterschied zwischen agglomerativem und divisivem hierarchischem Clustering?","Agglomerativ (Bottom-up) startet mit Einzelpunkten und fusioniert Cluster; divisiv (Top-down) startet mit einem Cluster und teilt ihn schrittweise.","Kapitel 2 - Folien.txt","week-2 wise-25-26 hierarchical-clustering clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-11","Was zeigt ein Dendrogramm in der hierarchischen Clusteranalyse?","Die Blätter sind einzelne Datenpunkte; die Höhe einer Vereinigung entspricht der Distanz zwischen den Clustern.","Kapitel 2 - Folien.txt","week-2 wise-25-26 hierarchical-clustering dendrogram data-mining source::kapitel-2-folien"
"20260206-1112-05-12","Welche zwei grundlegenden Entscheidungen sind für hierarchische Clusteranalyse nötig?","Definition der Distanz zwischen Clustern und eine Stoppregel.","Kapitel 2 - Folien.txt","week-2 wise-25-26 hierarchical-clustering clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-13","Wie definieren die gängigen Linkage-Methoden die Distanz zwischen zwei Clustern?","Single: minimale Paar-Distanz; Complete: maximale Paar-Distanz; Average: durchschnittliche Paar-Distanz; Centroid: Distanz der Centroiden; Ward: Zunahme der Varianz beim Zusammenführen.","Kapitel 2 - Folien.txt","week-2 wise-25-26 linkage hierarchical-clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-14","Welche Linkage-Methoden sind direkt in nicht-euklidischen Räumen anwendbar?","Single, Complete und Average Linkage.","Kapitel 2 - Folien.txt","week-2 wise-25-26 linkage hierarchical-clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-15","Warum sind Centroid- und Ward-Linkage nicht immer direkt anwendbar?","Sie erfordern die Berechnung eines Centroiden, was z. B. bei String-Daten nicht direkt möglich ist.","Kapitel 2 - Folien.txt","week-2 wise-25-26 linkage hierarchical-clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-16","Was sind typische Stoppregeln bei agglomerativem Clustering?","Vorgegebene Anzahl von Clustern; maximale Distanz im neu entstandenen Cluster übersteigt Schwellenwert; durchschnittliche maximale Distanz steigt stark an; Cluster-Dichte fällt unter einen Schwellenwert.","Kapitel 2 - Folien.txt","week-2 wise-25-26 hierarchical-clustering stopping-criteria data-mining source::kapitel-2-folien"
"20260206-1112-05-17","Warum sollten Attribute vor dem Clustering standardisiert werden?","Damit unterschiedliche Skalen (z. B. Einkommen vs. Körpergröße) die Distanzberechnung nicht dominieren; Standardisierung auf Mittelwert 0 und Standardabweichung 1.","Kapitel 2 - Folien.txt","week-2 wise-25-26 preprocessing clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-18","Was ist ein Clustroid in nicht-euklidischen Räumen?","Ein Punkt aus dem Cluster mit minimaler Summe aller Distanzen zu den anderen Punkten oder minimaler maximaler Distanz zu den anderen Punkten.","Kapitel 2 - Folien.txt","week-2 wise-25-26 clustering non-euclidean data-mining source::kapitel-2-folien"
"20260206-1112-05-19","Wie ist die Zeitkomplexität von hierarchischem Clustering?","Single Linkage: O(N^2); andere Verfahren mit Priority Queue: O(N^2 log N); naiv können sie O(N^3) erreichen.","Kapitel 2 - Folien.txt","week-2 wise-25-26 complexity hierarchical-clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-20","Was ist die Zielsetzung von k-Means-Clustering?","Eine Partition in k Cluster mit möglichst kleiner durchschnittlicher Distanz innerhalb der Cluster.","Kapitel 2 - Folien.txt","week-2 wise-25-26 k-means clustering data-mining source::kapitel-2-folien"
"20260206-1112-05-21","Wie läuft der k-Means-Algorithmus ab?","Initiale k Centroiden wählen, Punkte dem nächstgelegenen Centroid zuordnen, Centroiden neu berechnen, wiederholen bis Konvergenz.","Kapitel 2 - Folien.txt","week-2 wise-25-26 k-means algorithm data-mining source::kapitel-2-folien"
"20260206-1112-05-22","Welche Initialisierungsstrategien für k-Means sind üblich?","Zufällige Zuordnung und Centroid-Berechnung; Auswahl von k Punkten mit maximalen paarweisen Distanzen; hierarchisches Clustering auf Stichprobe und Wahl der Clustroiden.","Kapitel 2 - Folien.txt","week-2 wise-25-26 k-means initialization data-mining source::kapitel-2-folien"
