"Welche vier klassischen Angreifermodelle werden in der Kryptographie unterschieden?","<ul><li><strong>Ciphertext-Only</strong>: Angreifer kennt nur den Ciphertext.</li><li><strong>Known-Plaintext</strong>: Angreifer kennt Ciphertext–Klartext-Paare.</li><li><strong>Chosen-Plaintext</strong>: Angreifer kann zu gewählten Klartexten Ciphertexte erzeugen.</li><li><strong>Chosen-Ciphertext</strong>: Angreifer kann zu gewählten Ciphertexten Klartexte erhalten.</li></ul>","week-2 WS25/26 kryptographie it-sicherheit angreifermodelle source::02-encryption"
"Welche Bedingungen muss der Schlüssel beim One-Time Pad erfüllen, damit perfekte Sicherheit gilt?","<ul><li><strong>Echt zufällig</strong></li><li><strong>Gleich lang</strong> wie die Nachricht</li><li><strong>Gleichverteilung</strong> der Bits</li><li><strong>Geheim</strong></li><li><strong>Nur einmal verwendet</strong></li></ul>","week-2 WS25/26 kryptographie it-sicherheit one-time-pad source::02-encryption"
"Wie läuft der grundsätzliche Ablauf beim One-Time Pad ab?","Verschlüsselung und Entschlüsselung erfolgen bitweise mit <strong>XOR</strong> zwischen Klartext und Schlüsselstrom: <blockquote>Encryption: \(C = P \oplus K\) und Decryption: \(P = C \oplus K\)</blockquote>","week-2 WS25/26 kryptographie it-sicherheit one-time-pad source::02-encryption"
"Was ist der grundsätzliche Ablauf einer Blockchiffre als Substitutions-Permutations-Netzwerk (SPN)?","<ol><li>Aus dem Schlüssel werden <strong>Rundenschlüssel</strong> abgeleitet.</li><li>Mehrere Runden: Rundenschlüssel hinzufügen, dann <strong>Substitution (S-Box)</strong> und <strong>Permutation (P-Box)</strong>.</li><li>In der letzten Runde nochmals <strong>Rundenschlüssel addieren</strong>.</li><li>Entschlüsselung erfolgt analog in umgekehrter Reihenfolge.</li></ol>","week-2 WS25/26 kryptographie it-sicherheit blockchiffre spn source::02-encryption"
"Wie ist der grundsätzliche Ablauf der AES-Verschlüsselung aufgebaut?","AES arbeitet in Runden über einen 128-Bit-Block: <ul><li><strong>AddRoundKey</strong> (XOR mit Rundenschlüssel)</li><li><strong>SubBytes</strong> (S-Box-Substitution)</li><li><strong>ShiftRows</strong> (Zeilenverschiebung)</li><li><strong>MixColumns</strong> (Spaltenmischung)</li></ul>In der <strong>letzten Runde</strong> entfällt MixColumns; die letzte Operation ist <strong>AddRoundKey</strong>.","week-2 WS25/26 kryptographie it-sicherheit aes blockchiffre source::02-encryption"
"Wie wird der AES-Datenblock intern repräsentiert?","Als <strong>4×4-Tabelle</strong> aus Bytes (State). Das sind <strong>16 Bytes = 128 Bit</strong> pro Block.","week-2 WS25/26 kryptographie it-sicherheit aes source::02-encryption"
"Was macht die Operation AddRoundKey in AES?","<strong>Bitweises XOR</strong> zwischen State-Block und Rundenschlüssel. Es ist der Schritt, in dem der Schlüssel direkt eingebracht wird.","week-2 WS25/26 kryptographie it-sicherheit aes source::02-encryption"
"Was ist die Grundidee hinter RSA als Public-Key-Verfahren?","RSA nutzt eine <strong>Trapdoor-Funktion</strong>: Die <strong>Multiplikation</strong> großer Primzahlen ist leicht, die <strong>Primfaktorzerlegung</strong> des Produkts ist schwer. So kann der öffentliche Schlüssel veröffentlicht werden, während der private geheim bleibt.","week-2 WS25/26 kryptographie it-sicherheit rsa asymmetrisch source::02-encryption"
"Wie läuft die RSA-Schlüsselerzeugung grundsätzlich ab?","<ol><li>Wähle große Primzahlen \(p,q\).</li><li>Berechne \(N = p \cdot q\).</li><li>Berechne \(\varphi(N) = (p-1)(q-1)\).</li><li>Wähle \(e\) teilerfremd zu \(\varphi(N)\).</li><li>Bestimme \(d\) mit \(d \cdot e \equiv 1 \pmod{\varphi(N)}\).</li><li>Public Key \((N,e)\), Private Key \((N,d)\).</li></ol>","week-2 WS25/26 kryptographie it-sicherheit rsa asymmetrisch source::02-encryption"
"Wie lauten die RSA-Verschlüsselungs- und Entschlüsselungsformeln?","<ul><li><strong>Verschlüsselung</strong>: \(C = K^{e} \bmod N\)</li><li><strong>Entschlüsselung</strong>: \(K = C^{d} \bmod N\)</li></ul>","week-2 WS25/26 kryptographie it-sicherheit rsa asymmetrisch source::02-encryption"
"Was ist die Grundidee der Stromverschlüsselung (Stream Cipher)?","Aus dem Schlüssel wird ein <strong>Schlüsselstrom</strong> erzeugt, der <strong>bitweise</strong> mit dem Klartext per XOR verknüpft wird: \(C_i = P_i \oplus K_i\).","week-2 WS25/26 kryptographie it-sicherheit stromverschluesselung source::02-encryption"
"Worin liegt die zentrale Idee probabilistischer Verschlüsselung?","Die Verschlüsselung nutzt <strong>Zufall</strong>, sodass derselbe Klartext zu <strong>verschiedenen Ciphertexten</strong> führt. Dadurch werden <strong>Frequenz- und Zuordnungsangriffe</strong> erschwert.","week-2 WS25/26 kryptographie it-sicherheit probabilistische-verschluesselung source::02-encryption"
