"Welche vier grundlegenden Möglichkeiten nennt das Kapitel, um in Netzwerken Schaden zu verursachen?","<ul><li><strong>Abfangen</strong></li><li><strong>Modifizieren</strong></li><li><strong>Unterbrechen</strong></li><li><strong>Einschleusen</strong></li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit angriffe grundlagen source::05-net-sicherheit"
"Was ist die Hauptaufgabe einer Firewall?","<blockquote>Eine Firewall trennt Netzwerksegmente mit unterschiedlichen Sicherheitsniveaus und erzwingt Kommunikationsregeln.</blockquote>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall grundlagen source::05-net-sicherheit"
"Welche Leistungen einer Firewall nennt die Vorlesung ausdrücklich?","<ul><li><strong>Fokus für Sicherheitsentscheidungen</strong></li><li><strong>Regeln durchsetzen</strong> (wer darf mit wem?)</li><li><strong>Aktivitäten loggen</strong></li><li><strong>Schutz auf Teilnetze begrenzen</strong> (Angriffsfläche reduzieren)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall leistung source::05-net-sicherheit"
"Welche Dinge kann eine Firewall laut Vorlesung nicht leisten?","<ul><li>Schützt <strong>nicht</strong> gegen interne Angreifer.</li><li>Überwacht <strong>keine</strong> Verbindungen, die sie umgehen (z.B. LTE-Stick).</li><li>Schützt <strong>nicht zuverlässig</strong> vor neuen Bedrohungen oder Malware.</li><li>Konfiguriert sich <strong>nicht</strong> selbst.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall grenzen source::05-net-sicherheit"
"Welche zwei Grundstrategien für Paketfilter-Regeln gibt es?","<ul><li><strong>Default deny</strong>: Alles verboten, was nicht explizit erlaubt ist.</li><li><strong>Default permit</strong>: Alles erlaubt, was nicht explizit verboten ist.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter strategie source::05-net-sicherheit"
"Welche Aktionen kann ein Paketfilter durchführen?","<ul><li><strong>Pass</strong> (weiterleiten)</li><li><strong>Drop</strong> (verwerfen)</li><li><strong>Reject</strong> (verwerfen + Absender informieren)</li><li><strong>Log</strong> (mitloggen)</li><li><strong>NAT</strong> (weiterleiten an anderes Netz; kein echtes Filtern)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter source::05-net-sicherheit"
"Welche Felder sind für eine Firewall-Regel typischerweise relevant (Schichten 2–4)?","<ul><li><strong>MAC/Hardware-Adresse</strong> (Layer 2)</li><li><strong>IP-Quelle/Ziel</strong> und <strong>Protokoll</strong> (TCP/UDP/ICMP)</li><li><strong>Ports</strong> (Source/Destination)</li><li><strong>TCP-Flags</strong> (SYN/ACK/RST)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter header source::05-net-sicherheit"
"Was bedeutet „Inbound“ und „Outbound“ bei Paketfilter-Regeln?","<ul><li><strong>Outbound</strong>: Paket kommt aus dem internen Netz und geht nach außen.</li><li><strong>Inbound</strong>: Paket kommt von außen in das interne Netz.</li><li>Jede Regel muss die Richtung festlegen.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter richtung source::05-net-sicherheit"
"Warum benötigen TCP-Verbindungen Filterregeln in beide Richtungen?","<ul><li>TCP ist <strong>verbindungsorientiert</strong> und nutzt ACKs.</li><li>Es gibt immer <strong>Inbound- und Outbound-Pakete</strong>.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit tcp paketfilter source::05-net-sicherheit"
"Wofür wird das TCP-ACK-Flag in Paketfilter-Regeln genutzt?","<blockquote>ACK ist im ersten Paket <strong>false</strong>, danach <strong>true</strong>.</blockquote><ul><li>Damit kann man Regeln formulieren, die nur <strong>Antwortpakete</strong> erlauben.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit tcp ack source::05-net-sicherheit"
"Welche Schwäche zeigt das X11-Beispiel der Vorlesung bei einfachen Paketfilter-Regeln?","<ul><li>Regeln nur mit Zielport <strong>25</strong> und Source-Port <strong>&gt;1023</strong> erlauben unerwünschte Dienste wie X11.</li><li>Angreifer können Ports aus User-Space nutzen und so Regeln umgehen.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter beispiel source::05-net-sicherheit"
"Warum kann ein Angreifer Paketfilter-Regeln über Source-Ports umgehen?","<blockquote>Source-Ports lassen sich fälschen oder gezielt setzen.</blockquote><ul><li>Beispiel: Externer Angreifer startet Verbindungen mit <strong>Source-Port 25</strong>.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter schwaechen source::05-net-sicherheit"
"Welche Arten von Firewall-Architekturen werden im Kapitel genannt?","<ul><li><strong>Simple Packet Filter</strong></li><li><strong>Dual-Homed Host</strong></li><li><strong>Screened Host</strong></li><li><strong>Screened Subnet (DMZ)</strong></li><li><strong>Split Screened Subnet</strong></li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall architektur source::05-net-sicherheit"
