"Was sind technische Schulden?","<blockquote>Technische Schulden sind <strong>Kosten für Nachbesserungen</strong>, die bei einer „sauberen“ Entwicklung nicht angefallen wären.</blockquote>","week-8 WS25/26 insecure-coding technical-debt it-sicherheit source::08-insecure-coding"
"Welche typischen Ursachen für technische Schulden werden genannt?","<ul><li><strong>Absichtlich</strong>: Zeitdruck/Deadline, Management priorisiert Geschwindigkeit.</li><li><strong>Unabsichtlich</strong>: fehlende Prozessdisziplin, Ignoranz gegenüber Dokumentation/Vorgehensmodellen.</li></ul>","week-8 WS25/26 insecure-coding technical-debt it-sicherheit source::08-insecure-coding"
"Warum können technische Schulden zu immensen Kosten führen?","<ul><li>Wenn <strong>Schnittstellen-Design</strong> oder <strong>Systemarchitektur</strong> unsicher ist, betreffen Änderungen das <strong>gesamte Projekt</strong>.</li></ul>","week-8 WS25/26 insecure-coding technical-debt it-sicherheit source::08-insecure-coding"
"Was ist ein Buffer Overflow?","<blockquote>Ein <strong>Pufferüberlauf</strong> entsteht, wenn in einen reservierten Speicherbereich mehr Daten geschrieben werden, als seine feste Größe erlaubt.</blockquote>","week-8 WS25/26 insecure-coding buffer-overflow it-sicherheit source::08-insecure-coding"
"Wie kann ein Buffer Overflow die Kontrolle über den Programmablauf beeinflussen?","<ul><li>Durch Überschreiben von <strong>Rücksprungadressen</strong> oder <strong>Registerwerten</strong> kann die <strong>Ausführung umgeleitet</strong> werden.</li></ul>","week-8 WS25/26 insecure-coding buffer-overflow it-sicherheit source::08-insecure-coding"
"Welche typischen Folgen kann ein Buffer Overflow haben?","<ul><li><strong>Umleitung der Ausführung</strong> (Programm verhält sich anders).</li><li><strong>Privilege Escalation</strong> / Ausführen von Code mit unzulässigen Rechten.</li><li><strong>Systemabsturz</strong> (Programm oder OS stoppt).</li></ul>","week-8 WS25/26 insecure-coding buffer-overflow it-sicherheit source::08-insecure-coding"
"Welche CPU/OS-Mechanismen schützen gegen Buffer Overflows?","<ul><li><strong>Protected Mode</strong> mit Privilegienringen (Ring 0–3).</li><li><strong>NX-Flag</strong> (No-eXecute) für Speicherbereiche.</li><li><strong>Adressraum-/Speicherprüfung</strong>: ungültige Adressen führen zum Abbruch.</li><li><strong>Virtualisierung/Isolation</strong> zwischen Programmen.</li></ul>","week-8 WS25/26 insecure-coding buffer-overflow it-sicherheit source::08-insecure-coding"
"Wie schützt ein „Stack Canary“ vor Buffer Overflows?","<ul><li>Compiler legt einen <strong>Canary-Wert</strong> auf den Stack.</li><li>Beim Rücksprung wird geprüft, ob der Wert verändert wurde.</li><li><strong>Änderung → Programmabbruch</strong>.</li></ul>","week-8 WS25/26 insecure-coding buffer-overflow compiler-mitigations it-sicherheit source::08-insecure-coding"
"Wie reduzieren moderne Programmiersprachen Buffer Overflows?","<ul><li><strong>Keine rohen Pointer</strong> im „safe“-Kontext.</li><li><strong>Bounds-Checks</strong> bei Pufferzugriffen.</li><li><strong>Überwachung</strong> von System-Puffern (z.B. Stack Overflow).</li></ul>","week-8 WS25/26 insecure-coding buffer-overflow programming-languages it-sicherheit source::08-insecure-coding"
"Welche Maßnahmen in Tooling und Bibliotheken helfen gegen Buffer Overflows?","<ul><li><strong>Code Analyzer</strong> finden unsicheren Code und fehlende Prüfungen.</li><li><strong>Sichere APIs</strong> erzwingen Längenprüfung (z. B. <code>strncpy</code> statt <code>strcpy</code>).</li></ul>","week-8 WS25/26 insecure-coding buffer-overflow tooling it-sicherheit source::08-insecure-coding"
"Was kann eine Programmiersprache zur Sicherheit beitragen?","<ul><li><strong>Kein Sprachkonstrukt</strong> für Zugriffe auf nicht existierenden Speicher.</li><li><strong>Pflicht zur Initialisierung</strong> vor Nutzung.</li><li><strong>Definiertes Fehler-/Statusmodell</strong> für Funktionsaufrufe.</li></ul>","week-8 WS25/26 insecure-coding programming-languages it-sicherheit source::08-insecure-coding"
"Was kann eine Programmiersprache nicht erzwingen (Sicherheitsgrenzen)?","<ul><li><strong>Fehlerhafte Business Logic</strong> (z. B. ungeprüfte Daten, Backdoors).</li><li><strong>Race Conditions</strong> durch externe Faktoren und Timing.</li></ul>","week-8 WS25/26 insecure-coding business-logic programming-languages it-sicherheit source::08-insecure-coding"
"Was bedeutet „Insecure Mediation“ im Kontext Business Logic?","<blockquote>Fehler bei der <strong>Übergabe von Kontrolle/Daten</strong> zwischen Prozessen, Programmen oder Benutzern (z. B. ungeprüfte Parameter).</blockquote>","week-8 WS25/26 insecure-coding business-logic it-sicherheit source::08-insecure-coding"
"Was ist eine Race Condition in der Business Logic?","<blockquote>Ein Fehler, bei dem <strong>Reihenfolge und Timing</strong> paralleler Prozesse über die Korrektheit entscheiden.</blockquote>","week-8 WS25/26 insecure-coding business-logic race-condition it-sicherheit source::08-insecure-coding"
"Was ist das Sicherheitsproblem bei „Time-of-check vs. Time-of-use“ (TOCTOU)?","<ul><li>Zwischen <strong>Prüfung</strong> (z. B. Zugriffskontrolle) und <strong>Nutzung</strong> kann sich der Zustand ändern.</li><li>Dadurch können <strong>unerlaubte Aktionen</strong> möglich werden.</li></ul>","week-8 WS25/26 insecure-coding business-logic toctou it-sicherheit source::08-insecure-coding"
"Warum sind Backdoors in der Business Logic besonders kritisch?","<ul><li>Sie sind <strong>undokumentierte Zugänge</strong> für Überwachung/Debugging.</li><li>Sie werden <strong>früher oder später gefunden</strong>.</li><li>Sicherheit darf <strong>nicht</strong> von Geheimhaltung des Codes abhängen.</li></ul>","week-8 WS25/26 insecure-coding business-logic backdoor it-sicherheit source::08-insecure-coding"
