id,front,back,source_file,tag
"20260121-1618-01-1","What are the three fundamental properties of the inner product u · v?","Linearity, Symmetry, Positive Definiteness","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning inner-product"
"20260121-1618-01-2","How is the angle theta between two vectors u and v related to their inner product?","cos(theta) = (u · v) / (||u|| ||v||)","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning inner-product"
"20260121-1618-01-3","For unit vectors ||u|| = ||v|| = 1, what does the inner product u · v represent?","Similarity measure based on the angle (1 if same, 0 if orthogonal, -1 if opposite)","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning inner-product"
"20260121-1618-01-4","What is the mechanism of the simplest linear classifier f(x) = w · x + b?","Inner product between weight vector w and input x plus bias b; large values mean high similarity to w.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning linear-classifier"
"20260121-1618-01-5","Why is the sign function s(x) = sign(w · x + b) insufficient for ""uncertainty-aware"" classification?","It only provides hard labels; we need a mapping to [0, 1] to represent confidence/probability.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning sigmoid"
"20260121-1618-01-6","What is the definition of the logistic sigmoid function sigma(u)?","sigma(u) = 1 / (1 + exp(-u)) = exp(u) / (1 + exp(u))","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning sigmoid"
"20260121-1618-01-7","How does the scaling factor c > 0 affect the shape of the scaled sigmoid s(cu)?","Higher c makes the transition steeper; as c -> infinity, it approaches a step function.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning sigmoid"
"20260121-1618-01-8","What is ""Probit regression"" in the context of binary classification?","Regression using the CDF of a Normal Distribution instead of the sigmoid.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning probit"
"20260121-1618-01-9","What is the formula for the Binary Cross-Entropy (BCE) loss for a single sample?","e(x, y) = -y ln(s(x)) - (1 - y) ln(1 - s(x))","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning cross-entropy"
"20260121-1618-01-10","How do you interpret the Binary Cross-Entropy loss in terms of probability?","It is the negative log-probability of the ground truth class.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning cross-entropy"
"20260121-1618-01-11","What happens to the Binary Cross-Entropy loss if the model predicts s(x)=0 but the ground truth is y=1?","The loss approaches infinity.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning cross-entropy"
"20260121-1618-01-12","Why is the neg-logarithm a good choice for a loss function in gradient-based optimization?","Low loss for correct predictions, high for incorrect; almost everywhere differentiable.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning optimization"
"20260121-1618-01-13","What is the Principle of Maximum Likelihood (MLP)?","Pick parameters theta such that the probability of observing the given data is maximized.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning maximum-likelihood"
"20260121-1618-01-14","Why is it common to minimize the negative log-likelihood instead of maximizing the likelihood itself?","Sums are easier to differentiate than products; better numerical stability.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning maximum-likelihood"
"20260121-1618-01-15","What assumption is required to express the total probability of n samples as a product: P(Y0, ..., Yn) = product P(Yk)?","Statistical independence (specifically conditional independence given X).","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning maximum-likelihood"
"20260121-1618-01-16","[DERIVATION] What is the ""trick of pulling out a constant"" used in the derivation of cross-entropy from MLP?","P(Y0|X0) is constant with respect to Y1...Yn and can be pulled out of those summations.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning maximum-likelihood"
"20260121-1618-01-17","How are labels typically represented in multi-class classification where classes are mutually exclusive?","Using a one-hot vector where only one index is 1.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning multi-class"
"20260121-1618-01-18","What is the formula for Multi-class Cross-Entropy loss?","Loss = - sum (k=0 to C-1) y[k] ln(P(Y=k|x))","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning multi-class"
"20260121-1618-01-19","In Multi-class Cross-Entropy, how does the sum simplify for a specific ground truth label y?","It collapses to the negative log-probability of the correct class.","week 1 - slides_l2_logreg.txt","week-1 logistic-regression machine-learning multi-class"
"20260121-1730-01-1","What is the shape rule for Matrix-Matrix multiplication (n, d) x (d, f)?","The result is a matrix of shape (n, f).","week 1 - slides_l2_python.txt","week-1 python numpy matrix-multiplication"
"20260121-1730-01-2","How can the inner product u · v of two column-shaped vectors be written in matrix-vector multiplication notation?","u · v = u^T v","week 1 - slides_l2_python.txt","week-1 python numpy inner-product"
"20260121-1730-01-3","In Python, what is the difference between ""mutable"" and ""immutable"" objects regarding their content?","Mutable (list, dict) can be changed; Immutable (str, tuple) cannot be changed after creation.","week 1 - slides_l2_python.txt","week-1 python mutability"
"20260121-1730-01-4","[GOTCHA] How does ""Call by Object Reference"" behave when passing a whole object to a function and reassigning it?","You cannot change the object outside by reassigning it as a whole.","week 1 - slides_l2_python.txt","week-1 python call-by-object-reference"
"20260121-1730-01-5","[GOTCHA] How does ""Call by Object Reference"" behave when modifying mutable members of an object?","Modifying mutable members (e.g., list append) reflects outside the function call.","week 1 - slides_l2_python.txt","week-1 python call-by-object-reference"
